obwod;coordexact;glosy;icon
101884;54.2701205 18.6317438;3;measle_white
101885;54.260714 18.6282809;0;measle_white
101886;54.262187 18.632082;2;measle_white
101887;54.257501 18.63147;1;measle_white
101888;54.25786 18.6306574;7;measle_grey
101889;54.260958 18.643743;1;measle_white
101890;54.255416 18.6367109;1;measle_white
101891;54.255416 18.6367109;0;measle_white
101892;54.2476191 18.6533341;0;measle_white
101893;54.2618283 18.6507311;3;measle_white
101894;54.258407 18.654739;6;measle_grey
101895;54.2618283 18.6507311;1;measle_white
101896;54.2618283 18.6507311;1;measle_white
101897;54.2643992 18.670337;5;measle_grey
101898;54.2643992 18.670337;5;measle_grey
101899;54.2608155 18.6542828;1;measle_white
101900;54.273723 18.871897;0;measle_white
101901;54.251731 18.846194;3;measle_white
101902;54.2419976 18.8144526;0;measle_white
101903;54.2946339 18.8098252;1;measle_white
101904;54.270878 18.4678459;7;measle_grey
101905;54.2704438 18.4692588;2;measle_white
101906;54.281876 18.5072514;1;measle_white
101907;54.294778 18.526880;0;measle_white
101908;54.3078046 18.5634832;1;measle_white
101909;54.3136186 18.5636482;1;measle_white
101910;54.270878 18.4678459;1;measle_white
101911;54.221631 18.548387;1;measle_white
101912;54.232435 18.5999479;0;measle_white
101913;54.27323 18.582109;2;measle_white
101914;54.27323 18.582109;4;measle_grey
101915;54.2711812 18.6108312;3;measle_white
101916;54.298279 18.5960949;0;measle_white
101917;54.258622 18.5978259;3;measle_white
101918;54.3313 18.800009;5;measle_grey
101919;54.272723 18.683417;1;measle_white
101920;54.223305 18.6488139;2;measle_white
101921;54.230469 18.6410239;0;measle_white
101922;54.2278861 18.6261765;1;measle_white
101923;54.293289 18.719793;4;measle_grey
101924;54.246786 18.385345;4;measle_grey
101925;54.2323768 18.2702574;2;measle_white
101926;54.167794 18.2773829;0;measle_white
101927;54.172529 18.7002929;0;measle_white
101928;54.1724311 18.6841931;0;measle_white
101929;54.184174 18.6786358;0;measle_white
101930;54.182611 18.6791199;2;measle_white
101931;54.2022972 18.6654124;3;measle_white
101932;54.1725205 18.7011858;2;measle_white
101933;54.156284 18.709063;0;measle_white
101934;54.2073312 18.7652424;1;measle_white
101935;54.1864622 18.6775611;4;measle_grey
101936;54.2309434 18.7585655;5;measle_grey
101937;54.173791 18.4841379;1;measle_white
101938;54.198713 18.4204909;1;measle_white
101939;54.144651 18.604874;2;measle_white
101940;54.172123 18.537657;4;measle_grey
101941;54.20021 18.585455;0;measle_white
102065;53.7432804 18.9469171;4;measle_grey
102066;53.7384452 18.9487217;5;measle_grey
102067;53.7384452 18.9487217;1;measle_white
102068;53.7362734 18.9393904;0;measle_white
102069;53.7331979 18.9447944;2;measle_white
102070;53.732661 18.940659;2;measle_white
102071;53.7306101 18.942819;0;measle_white
102072;53.7306101 18.942819;0;measle_white
102073;53.723972 18.932261;1;measle_white
102074;53.7252722 18.9393404;5;measle_grey
102075;53.720533 18.940323;3;measle_white
102076;53.7196893 18.9361407;2;measle_white
102077;53.7251577 18.9224708;2;measle_white
102078;53.7251577 18.9224708;1;measle_white
102079;53.731145 18.9245618;1;measle_white
102080;53.7283185 18.9256781;2;measle_white
102081;53.7316436 18.9232327;0;measle_white
102082;53.7335098 18.9267668;1;measle_white
102083;53.7369858 18.9226748;0;measle_white
102084;53.7375315 18.9328425;1;measle_white
102085;53.741155 18.9288399;3;measle_white
102086;53.7269686 18.9204908;0;measle_white
102087;53.741155 18.9288399;0;measle_white
102088;53.7067366 18.9203307;0;measle_white
102089;53.6128965 18.9488949;4;measle_grey
102090;53.7069237 19.0069878;0;measle_white
102091;53.6737139 19.05601;0;measle_white
102092;53.677664 19.170526;0;measle_white
102093;53.9193088 19.0313634;0;measle_white
102094;53.6107187 18.9464599;0;measle_white
102095;53.652826 19.001012;4;measle_grey
102096;53.818001 18.8567189;0;measle_white
102097;53.803414 18.8730349;2;measle_white
102098;53.7508484 18.8653221;0;measle_white
102099;53.730086 18.8725889;4;measle_grey
102100;53.735958 18.914915;4;measle_grey
102101;53.824484 19.344364;0;measle_white
102102;53.725676 19.025298;1;measle_white
102103;53.7278877 19.0275777;0;measle_white
102104;53.805105 18.981665;1;measle_white
102105;53.7874636 18.9428144;1;measle_white
102106;53.755582 19.200081;0;measle_white
102107;53.755582 19.200081;0;measle_white
102108;53.759288 19.196877;1;measle_white
102109;53.75694 19.1971299;1;measle_white
102110;53.755582 19.200081;0;measle_white
102111;53.7539871 19.2066664;1;measle_white
