komisja;teryt;kto;komitet;glosy;coords;icon
101884;220401;Jarosław Daniel SELLIN;PiS;37;54.2701205 18.6317438;measle_brown
101884;220401;Adam Marek KOROL;PO;70;54.2701205 18.6317438;small_blue
101884;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;13;54.2701205 18.6317438;small_yellow
101884;220401;Karol Kazimierz RABENDA;KORWIN;22;54.2701205 18.6317438;small_yellow
101884;220401;Józef Leon SARNOWSKI;PSL;1;54.2701205 18.6317438;measle_white
101884;220401;Joanna SENYSZYN;ZLEW;15;54.2701205 18.6317438;small_yellow
101884;220401;Magdalena Maria BŁEŃSKA;KUKIZ;27;54.2701205 18.6317438;measle_brown
101884;220401;Ewa LIEDER;PETRU;65;54.2701205 18.6317438;small_blue
101884;220401;Danuta HOJARSKA;KWZStonoga;3;54.2701205 18.6317438;measle_white
101885;220401;Jarosław Daniel SELLIN;PiS;58;54.260714 18.6282809;small_blue
101885;220401;Adam Marek KOROL;PO;31;54.260714 18.6282809;measle_brown
101885;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;7;54.260714 18.6282809;measle_grey
101885;220401;Karol Kazimierz RABENDA;KORWIN;15;54.260714 18.6282809;small_yellow
101885;220401;Józef Leon SARNOWSKI;PSL;1;54.260714 18.6282809;measle_white
101885;220401;Joanna SENYSZYN;ZLEW;17;54.260714 18.6282809;small_yellow
101885;220401;Magdalena Maria BŁEŃSKA;KUKIZ;9;54.260714 18.6282809;measle_grey
101885;220401;Ewa LIEDER;PETRU;18;54.260714 18.6282809;small_yellow
101885;220401;Danuta HOJARSKA;KWZStonoga;0;54.260714 18.6282809;measle_white
101886;220401;Jarosław Daniel SELLIN;PiS;78;54.262187 18.632082;small_blue
101886;220401;Adam Marek KOROL;PO;98;54.262187 18.632082;small_blue
101886;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;14;54.262187 18.632082;small_yellow
101886;220401;Karol Kazimierz RABENDA;KORWIN;18;54.262187 18.632082;small_yellow
101886;220401;Józef Leon SARNOWSKI;PSL;0;54.262187 18.632082;measle_white
101886;220401;Joanna SENYSZYN;ZLEW;31;54.262187 18.632082;measle_brown
101886;220401;Magdalena Maria BŁEŃSKA;KUKIZ;20;54.262187 18.632082;small_yellow
101886;220401;Ewa LIEDER;PETRU;41;54.262187 18.632082;measle_brown
101886;220401;Danuta HOJARSKA;KWZStonoga;2;54.262187 18.632082;measle_white
101887;220401;Jarosław Daniel SELLIN;PiS;53;54.257501 18.63147;small_blue
101887;220401;Adam Marek KOROL;PO;58;54.257501 18.63147;small_blue
101887;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;15;54.257501 18.63147;small_yellow
101887;220401;Karol Kazimierz RABENDA;KORWIN;7;54.257501 18.63147;measle_grey
101887;220401;Józef Leon SARNOWSKI;PSL;1;54.257501 18.63147;measle_white
101887;220401;Joanna SENYSZYN;ZLEW;18;54.257501 18.63147;small_yellow
101887;220401;Magdalena Maria BŁEŃSKA;KUKIZ;6;54.257501 18.63147;measle_grey
101887;220401;Ewa LIEDER;PETRU;34;54.257501 18.63147;measle_brown
101887;220401;Danuta HOJARSKA;KWZStonoga;1;54.257501 18.63147;measle_white
101888;220401;Jarosław Daniel SELLIN;PiS;86;54.25786 18.6306574;small_blue
101888;220401;Adam Marek KOROL;PO;58;54.25786 18.6306574;small_blue
101888;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;12;54.25786 18.6306574;small_yellow
101888;220401;Karol Kazimierz RABENDA;KORWIN;17;54.25786 18.6306574;small_yellow
101888;220401;Józef Leon SARNOWSKI;PSL;3;54.25786 18.6306574;measle_white
101888;220401;Joanna SENYSZYN;ZLEW;31;54.25786 18.6306574;measle_brown
101888;220401;Magdalena Maria BŁEŃSKA;KUKIZ;18;54.25786 18.6306574;small_yellow
101888;220401;Ewa LIEDER;PETRU;42;54.25786 18.6306574;measle_brown
101888;220401;Danuta HOJARSKA;KWZStonoga;7;54.25786 18.6306574;measle_grey
101889;220401;Jarosław Daniel SELLIN;PiS;36;54.260958 18.643743;measle_brown
101889;220401;Adam Marek KOROL;PO;31;54.260958 18.643743;measle_brown
101889;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;10;54.260958 18.643743;measle_grey
101889;220401;Karol Kazimierz RABENDA;KORWIN;16;54.260958 18.643743;small_yellow
101889;220401;Józef Leon SARNOWSKI;PSL;3;54.260958 18.643743;measle_white
101889;220401;Joanna SENYSZYN;ZLEW;15;54.260958 18.643743;small_yellow
101889;220401;Magdalena Maria BŁEŃSKA;KUKIZ;12;54.260958 18.643743;small_yellow
101889;220401;Ewa LIEDER;PETRU;39;54.260958 18.643743;measle_brown
101889;220401;Danuta HOJARSKA;KWZStonoga;1;54.260958 18.643743;measle_white
101890;220401;Jarosław Daniel SELLIN;PiS;76;54.255416 18.6367109;small_blue
101890;220401;Adam Marek KOROL;PO;83;54.255416 18.6367109;small_blue
101890;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;16;54.255416 18.6367109;small_yellow
101890;220401;Karol Kazimierz RABENDA;KORWIN;19;54.255416 18.6367109;small_yellow
101890;220401;Józef Leon SARNOWSKI;PSL;3;54.255416 18.6367109;measle_white
101890;220401;Joanna SENYSZYN;ZLEW;29;54.255416 18.6367109;measle_brown
101890;220401;Magdalena Maria BŁEŃSKA;KUKIZ;15;54.255416 18.6367109;small_yellow
101890;220401;Ewa LIEDER;PETRU;47;54.255416 18.6367109;measle_brown
101890;220401;Danuta HOJARSKA;KWZStonoga;1;54.255416 18.6367109;measle_white
101891;220401;Jarosław Daniel SELLIN;PiS;33;54.255416 18.6367109;measle_brown
101891;220401;Adam Marek KOROL;PO;21;54.255416 18.6367109;small_yellow
101891;220401;Aleksandra Grażyna KROTOWSKA-CACHA;KWRazem;13;54.255416 18.6367109;small_yellow
101891;220401;Karol Kazimierz RABENDA;KORWIN;10;54.255416 18.6367109;measle_grey
101891;220401;Józef Leon SARNOWSKI;PSL;0;54.255416 18.6367109;measle_white
101891;220401;Joanna SENYSZYN;ZLEW;14;54.255416 18.6367109;small_yellow
101891;220401;Magdalena Maria BŁEŃSKA;KUKIZ;12;54.255416 18.6367109;small_yellow
