komisja;glosy
101690;203
101691;33
101692;42
101693;100
101694;148
101695;121
101696;173
101697;130
101698;163
101699;186
101700;182
101701;191
101702;99
101703;161
101704;178
101705;109
101706;77
101707;114
101708;201
101709;60
101710;35
101711;55
101712;109
101713;57
101714;56
101715;6
101716;148
101717;53
101718;60
101719;162
101720;87
101721;174
101722;149
101723;26
101724;48
101725;98
101726;56
101727;88
101728;89
101729;49
101730;155
101731;172
101732;196
101733;202
101734;105
101735;178
101736;149
101737;176
101738;150
101739;75
101740;83
101741;89
101742;86
101743;104
101744;151
101745;19
101746;167
101747;70
101748;10
101749;30
101750;183
101751;59
101752;100
101753;170
101754;180
101755;9
101756;67
101757;64
101758;44
101759;30
101760;188
101761;159
101762;168
101763;117
101764;198
101765;239
101766;227
101767;123
101768;127
101769;137
101770;172
101771;198
101772;241
101773;221
101774;221
101775;181
101776;174
101777;254
101778;182
101779;172
101780;184
101781;6
101782;3
101783;13
101784;101
101785;98
101786;66
101787;89
101788;77
101789;150
101790;185
101791;142
101792;27
101793;108
101794;68
101795;62
101796;71
101797;119
101798;205
101799;105
101800;81
101801;114
101802;95
101803;108
101804;61
101805;58
101806;51
101807;68
101808;59
101809;63
101810;39
101811;109
101812;217
101813;201
101814;245
101815;235
101816;137
101817;31
101818;45
101819;172
101820;48
101821;33
101822;81
101823;76
101824;80
101825;150
101826;8
101827;176
101828;174
101829;205
101830;138
101831;93
101832;205
101833;222
101834;247
101835;274
101836;10
101837;192
101838;207
101839;187
101840;14
101841;44
101842;35
101843;21
101844;42
101845;173
101846;23
101847;124
101848;143
101849;150
101850;69
101851;123
101852;46
101853;49
101854;128
101855;97
101856;124
101857;152
101858;14
101859;24
101860;38
101861;37
101862;46
101863;21
101864;44
101865;29
101866;87
101867;94
101868;51
101869;13
101870;23
101871;44
101872;79
101873;93
101874;111
101875;139
101876;20
101877;20
101878;65
101879;72
101880;37
101881;37
101882;33
101883;23
101884;253
101885;156
101886;302
101887;193
101888;274
101889;163
101890;289
101891;113
101892;163
101893;199
101894;370
101895;139
101896;186
101897;418
101898;206
101899;198
101900;134
101901;218
101902;111
101903;77
101904;443
101905;423
101906;384
101907;436
101908;353
101909;185
101910;130
101911;114
101912;62
101913;346
101914;372
101915;443
101916;493
101917;424
101918;235
101919;195
101920;231
101921;152
101922;116
101923;137
101924;143
101925;237
101926;121
101927;182
101928;170
101929;116
101930;48
101931;148
101932;160
101933;43
101934;94
101935;87
101936;86
101937;137
101938;99
101939;137
101940;195
101941;135
101942;433
101943;309
101944;219
101945;174
101946;223
101947;187
101948;166
101949;173
101950;131
101951;117
101952;104
101953;107
101954;103
101955;117
101956;110
101957;116
101958;201
101959;135
101960;120
101961;119
101962;75
101963;154
101964;1
101965;5
101966;179
101967;193
101968;174
101969;198
101970;183
101971;188
101972;277
101973;239
101974;130
101975;169
101976;209
101977;107
101978;116
101979;163
101980;96
101981;177
101982;89
101983;164
101984;189
101985;90
101986;29
101987;204
101988;197
101989;266
101990;156
101991;68
101992;146
101993;130
101994;230
101995;112
101996;81
101997;142
101998;280
101999;284
102000;146
102001;112
102002;64
102003;230
102004;277
102005;388
102006;170
102007;282
102008;222
102009;220
102010;125
102011;88
102012;153
102013;208
102014;257
102015;143
102016;214
102017;248
102018;172
102019;202
102020;217
102021;202
102022;315
102023;244
102024;223
102025;114
102026;243
102027;169
102028;22
102029;169
102030;91
102031;125
102032;286
102033;241
102034;48
102035;5
102036;171
102037;93
102038;103
102039;76
102040;263
102041;150
102042;109
102043;84
102044;96
102045;90
102046;107
102047;126
102048;162
102049;109
102050;40
102051;71
102052;132
102053;108
102054;132
102055;107
102056;76
102057;87
102058;81
102059;110
102060;172
102061;66
102062;77
102063;172
102064;150
102065;250
102066;156
102067;215
102068;182
102069;180
102070;175
102071;167
102072;126
102073;188
102074;179
102075;184
102076;174
102077;145
102078;188
102079;149
102080;126
102081;105
102082;137
102083;99
102084;151
102085;120
102086;4
102087;8
102088;49
102089;128
102090;63
102091;48
102092;30
102093;44
