no;lat;lon;dist;tdist;alt;slope
00033;54.210335;19.090107;2070.990;2070.99;0.2;0.0
00046;54.199993;19.065216;2013.852;4084.84;1.3;0.1
00051;54.189963;19.038480;2100.395;6185.24;1.2;0.1
00057;54.172986;19.023460;2155.660;8340.90;-0.2;-0.0
00064;54.151100;19.017709;2516.321;10857.22;1.8;0.1
00076;54.134949;19.004105;2073.084;12930.30;2.0;0.1
00099;54.116792;19.002303;2108.364;15038.67;-2.3;-0.1
00117;54.098526;18.999041;2099.588;17138.25;2.0;0.1
00129;54.080377;19.002732;2106.226;19244.48;-0.0;-0.0
00137;54.058670;19.018911;2636.816;21881.30;1.8;0.1
00156;54.042596;19.024962;2038.282;23919.58;0.5;0.0
00175;54.028028;19.019555;2086.642;26006.22;10.9;0.5
00188;54.010984;19.008955;2066.084;28072.30;14.5;0.7
00193;53.992053;19.002818;2180.634;30252.94;8.0;0.4
00201;53.974389;19.007967;2164.394;32417.33;7.8;0.4
00209;53.958535;19.020842;2017.293;34434.63;-4.8;-0.2
00217;53.940452;19.026164;2152.595;36587.22;14.2;0.7
00224;53.924364;19.026013;2032.935;38620.16;-1.7;-0.1
00244;53.929601;19.005886;2016.508;40636.66;-9.1;-0.5
00261;53.926152;18.978592;2037.388;42674.05;10.9;0.5
00262;53.920946;18.940226;2578.266;45252.32;3.7;0.1
00265;53.915840;18.901602;2614.740;47867.06;-6.4;-0.2
00282;53.919379;18.877913;2135.711;50002.77;-44.7;-2.1
00290;53.935298;18.865982;2048.577;52051.35;1.5;0.1
00297;53.946969;18.887354;2140.428;54191.77;4.5;0.2
00307;53.963938;18.886667;2043.382;56235.16;3.1;0.2
00316;53.991498;18.897482;4100.295;60335.45;-10.7;-0.3
00319;54.013897;18.918425;2858.597;63194.05;-1.2;-0.0
00339;54.008941;18.892332;2069.230;65263.28;-0.8;-0.0
00348;54.009975;18.859116;2176.580;67439.86;-0.1;-0.0
00364;54.024272;18.853322;2014.342;69454.20;1.0;0.0
00376;54.042924;18.857957;2119.685;71573.88;0.6;0.0
00395;54.058544;18.855468;2033.829;73607.71;-1.7;-0.1
00408;54.076110;18.849760;2181.838;75789.55;-1.7;-0.1
00416;54.087942;18.820578;2507.911;78297.46;2.4;0.1
00429;54.102992;18.836714;2118.851;80416.31;-0.6;-0.0
00434;54.115421;18.862120;2161.810;82578.12;-1.1;-0.0
00442;54.130310;18.866411;2050.461;84628.58;-2.0;-0.1
00447;54.153739;18.856112;2789.471;87418.05;1.1;0.0
00450;54.168916;18.874651;3082.911;90500.96;-0.1;-0.0
00452;54.173287;18.897825;2449.591;92950.56;-0.4;-0.0
00460;54.190013;18.915678;2206.449;95157.00;-1.6;-0.1
00466;54.203671;18.945976;2544.222;97701.23;-1.5;-0.1
00478;54.219833;18.948895;2103.010;99804.24;0.1;0.0
00481;54.236340;18.962456;2036.493;101840.73;-0.5;-0.0
00494;54.249832;18.973700;2125.666;103966.40;0.2;0.0
00502;54.264322;18.956963;2709.823;106676.22;0.8;0.0
00510;54.281913;18.968035;2113.264;108789.48;1.2;0.1
00522;54.297093;18.970781;2055.797;110845.28;0.2;0.0
00527;54.316223;18.963228;2203.634;113048.91;-2.4;-0.1
00546;54.333292;18.967262;2061.388;115110.30;1.4;0.1
00554;54.334393;18.999535;2106.371;117216.67;8.2;0.4
00563;54.331690;19.029146;2014.909;119231.58;-6.7;-0.3
00571;54.332541;19.062878;2226.506;121458.09;3.5;0.2
00580;54.330939;19.097897;2284.318;123742.41;2.9;0.1
00599;54.302515;19.108797;3771.000;127513.41;-10.4;-0.3
00612;54.285483;19.117809;2065.646;129579.05;2.0;0.1
00622;54.272053;19.138409;2083.460;131662.51;-1.8;-0.1
00630;54.254608;19.138924;2011.586;133674.10;-1.6;-0.1
00638;54.237958;19.129740;2317.458;135991.56;1.5;0.1
00641;54.221753;19.113861;2081.904;138073.46;0.2;0.0
00673;54.214269;19.113174;2014.466;140087.93;1.8;0.1
